pool,run,family,batch,draws,ci_low,ci_high
eligible_union,independent,haar_weak_z_eta06,1,10000,-0.21383859935354774,-0.14177487280488463
eligible_union,independent,haar_weak_z_eta06,2,10000,-0.21334559527589653,-0.14202418346553164
eligible_union,independent,haar_weak_z_eta06,3,10000,-0.21298791577135481,-0.14186818878510038
eligible_union,independent,haar_weak_z_eta06,4,10000,-0.21360878581566062,-0.14160397253639703
eligible_union,independent,haar_weak_z_eta06,5,10000,-0.21303742980953314,-0.14230408056159993
all_confirmatory,primary,haar_z,1,10000,-0.28902434884611411,-0.22562308340753573
all_confirmatory,primary,haar_z,2,10000,-0.28936745796885449,-0.22557810546130722
all_confirmatory,primary,haar_z,3,10000,-0.28965826915358162,-0.22651878588232713
all_confirmatory,primary,haar_z,4,10000,-0.28834133846347609,-0.2261918627038661
all_confirmatory,primary,haar_z,5,10000,-0.28847003916836467,-0.22655274418530988
all_confirmatory,primary,clifford_z,1,10000,-0.56937133801884943,-0.21880737405927983
all_confirmatory,primary,clifford_z,2,10000,-0.57194387451210471,-0.22475845156178592
all_confirmatory,primary,clifford_z,3,10000,-0.56846341264226885,-0.22178573517862551
all_confirmatory,primary,clifford_z,4,10000,-0.57355234044398462,-0.22380134591327253
all_confirmatory,primary,clifford_z,5,10000,-0.57111815335236982,-0.2234900473708335
all_confirmatory,primary,floquet_cartan_z,1,10000,-0.23548250011454788,-0.18166958463607338
all_confirmatory,primary,floquet_cartan_z,2,10000,-0.23514246212191517,-0.18140111850431709
all_confirmatory,primary,floquet_cartan_z,3,10000,-0.23603161283963794,-0.18143304483433009
all_confirmatory,primary,floquet_cartan_z,4,10000,-0.23589915831238217,-0.18206308708111849
all_confirmatory,primary,floquet_cartan_z,5,10000,-0.23648609210767793,-0.1814920132742793
all_confirmatory,primary,haar_random_pauli,1,10000,-0.21739242555678837,-0.15828788517116738
all_confirmatory,primary,haar_random_pauli,2,10000,-0.2181387191446435,-0.15824912054127263
all_confirmatory,primary,haar_random_pauli,3,10000,-0.21818449722366537,-0.15829434360741756
all_confirmatory,primary,haar_random_pauli,4,10000,-0.21778124176497973,-0.15845335081347611
all_confirmatory,primary,haar_random_pauli,5,10000,-0.21800345831659618,-0.15845301436007564
all_confirmatory,primary,haar_weak_z_eta06,1,10000,-0.20404069156762439,-0.16104909662014613
all_confirmatory,primary,haar_weak_z_eta06,2,10000,-0.20367071219442562,-0.16148104671805
all_confirmatory,primary,haar_weak_z_eta06,3,10000,-0.20394966246474711,-0.16140362693493734
all_confirmatory,primary,haar_weak_z_eta06,4,10000,-0.20455086830909053,-0.16161126135381398
all_confirmatory,primary,haar_weak_z_eta06,5,10000,-0.20428492874462015,-0.1609953985514973
all_confirmatory,independent,haar_z,1,10000,-0.24622855003936597,-0.16896254150112924
all_confirmatory,independent,haar_z,2,10000,-0.2462449561705902,-0.16923634004108726
all_confirmatory,independent,haar_z,3,10000,-0.24718228745020415,-0.16936243855690999
all_confirmatory,independent,haar_z,4,10000,-0.24629052757465159,-0.16898337200056743
all_confirmatory,independent,haar_z,5,10000,-0.24640234264757135,-0.16893830262967077
all_confirmatory,independent,clifford_z,1,10000,-0.46132539428174113,-0.18051105526078667
all_confirmatory,independent,clifford_z,2,10000,-0.46091911977894373,-0.17861290249812717
all_confirmatory,independent,clifford_z,3,10000,-0.46132952891734824,-0.18408373109444923
all_confirmatory,independent,clifford_z,4,10000,-0.45807376745640571,-0.18005487678367701
all_confirmatory,independent,clifford_z,5,10000,-0.46342868301476459,-0.18157935796258692
all_confirmatory,independent,floquet_cartan_z,1,10000,-0.21980038647141234,-0.15056342441226772
all_confirmatory,independent,floquet_cartan_z,2,10000,-0.22100602884553958,-0.150207979609118
all_confirmatory,independent,floquet_cartan_z,3,10000,-0.22021650491402542,-0.14994192625313085
all_confirmatory,independent,floquet_cartan_z,4,10000,-0.22035943873594732,-0.15031490965514047
all_confirmatory,independent,floquet_cartan_z,5,10000,-0.22028369217305457,-0.15121176717010057
all_confirmatory,independent,haar_random_pauli,1,10000,-0.23514096985837626,-0.16068659854227488
all_confirmatory,independent,haar_random_pauli,2,10000,-0.23506222158250314,-0.16113980186722315
all_confirmatory,independent,haar_random_pauli,3,10000,-0.23432206573913508,-0.16124946143872551
all_confirmatory,independent,haar_random_pauli,4,10000,-0.23473138357416937,-0.16103183615523955
all_confirmatory,independent,haar_random_pauli,5,10000,-0.23575697185127673,-0.16125429132056679
all_confirmatory,independent,haar_weak_z_eta06,1,10000,-0.21434578538478455,-0.1420523845844005
all_confirmatory,independent,haar_weak_z_eta06,2,10000,-0.213398753618324,-0.14215814037552543
all_confirmatory,independent,haar_weak_z_eta06,3,10000,-0.21316676330307824,-0.14309664908045977
all_confirmatory,independent,haar_weak_z_eta06,4,10000,-0.21392925595986881,-0.14186181282938715
all_confirmatory,independent,haar_weak_z_eta06,5,10000,-0.2137335163844267,-0.14275725840874756
