run,protocol,n,p_measure,I3_mean
replication,random_pauli,32,0.28000000000000003,-0.12333333333333334
replication,random_pauli,32,0.29999999999999999,-0.023333333333333334
replication,random_pauli,32,0.34000000000000002,-0.029999999999999999
replication,random_pauli,64,0.20000000000000001,-1.7133333333333334
replication,random_pauli,64,0.22,-0.98666666666666669
replication,random_pauli,64,0.23999999999999999,-0.38333333333333336
replication,random_pauli,64,0.25,-0.38666666666666666
replication,random_pauli,64,0.26000000000000001,-0.21666666666666667
replication,random_pauli,64,0.27000000000000002,-0.16
replication,random_pauli,64,0.28000000000000003,-0.08666666666666667
replication,random_pauli,64,0.29999999999999999,-0.046666666666666669
replication,random_pauli,64,0.34000000000000002,0
replication,random_pauli,128,0.20000000000000001,-4.4833333333333334
replication,random_pauli,128,0.22,-2.3500000000000001
replication,random_pauli,128,0.23999999999999999,-0.95333333333333337
replication,random_pauli,128,0.25,-0.56999999999999995
replication,random_pauli,128,0.26000000000000001,-0.23000000000000001
replication,random_pauli,128,0.27000000000000002,-0.13333333333333333
replication,random_pauli,128,0.28000000000000003,-0.083333333333333329
replication,random_pauli,128,0.29999999999999999,-0.01
replication,random_pauli,128,0.34000000000000002,0
replication,random_pauli,256,0.20000000000000001,-10.483333333333333
replication,random_pauli,256,0.22,-5.8766666666666669
replication,random_pauli,256,0.23999999999999999,-2.3900000000000001
replication,random_pauli,256,0.25,-1.23
replication,random_pauli,256,0.26000000000000001,-0.39666666666666667
replication,random_pauli,256,0.27000000000000002,-0.11
replication,random_pauli,256,0.28000000000000003,-0.043333333333333335
replication,random_pauli,256,0.29999999999999999,-0.0066666666666666671
replication,random_pauli,256,0.34000000000000002,0
replication,z_projective,32,0.20000000000000001,-0.79666666666666663
replication,z_projective,32,0.22,-0.51666666666666672
replication,z_projective,32,0.23999999999999999,-0.29666666666666669
replication,z_projective,32,0.25,-0.30333333333333334
replication,z_projective,32,0.26000000000000001,-0.17999999999999999
replication,z_projective,32,0.27000000000000002,-0.10000000000000001
replication,z_projective,32,0.28000000000000003,-0.15666666666666668
replication,z_projective,32,0.29999999999999999,-0.059999999999999998
replication,z_projective,32,0.34000000000000002,-0.040000000000000001
replication,z_projective,64,0.20000000000000001,-1.8533333333333333
replication,z_projective,64,0.22,-1.01
replication,z_projective,64,0.23999999999999999,-0.45666666666666667
replication,z_projective,64,0.25,-0.35333333333333333
replication,z_projective,64,0.26000000000000001,-0.20999999999999999
replication,z_projective,64,0.27000000000000002,-0.14333333333333334
replication,z_projective,64,0.28000000000000003,-0.073333333333333334
replication,z_projective,64,0.29999999999999999,-0.050000000000000003
replication,z_projective,64,0.34000000000000002,-0.01
replication,z_projective,128,0.20000000000000001,-4.1466666666666665
replication,z_projective,128,0.22,-2.2599999999999998
replication,z_projective,128,0.23999999999999999,-0.88
replication,z_projective,128,0.25,-0.5
replication,z_projective,128,0.26000000000000001,-0.28999999999999998
replication,z_projective,128,0.27000000000000002,-0.11666666666666667
replication,z_projective,128,0.28000000000000003,-0.093333333333333338
replication,z_projective,128,0.29999999999999999,-0.016666666666666666
replication,z_projective,128,0.34000000000000002,0
replication,z_projective,256,0.20000000000000001,-10.51
replication,z_projective,256,0.22,-6.0133333333333336
replication,z_projective,256,0.23999999999999999,-2.3999999999999999
replication,z_projective,256,0.25,-1.1100000000000001
replication,z_projective,256,0.26000000000000001,-0.34999999999999998
replication,z_projective,256,0.27000000000000002,-0.14999999999999999
replication,z_projective,256,0.28000000000000003,-0.02
replication,z_projective,256,0.29999999999999999,0
replication,z_projective,256,0.34000000000000002,0
