run,family,probe,cells,direct,reconstructed,archived_estimate,compact_estimate,compact_error,compact_decomposition,compact_decomposition_error
primary_rank4,haar_weak_z_eta06,cartan_xx_pi4,6,-0.04048711006545341,-0.04048711006545342,-0.04048711006545341,-0.0520453354777,0.01155822541224659,-0.0505302972163,0.01004318715084658
primary_rank4,haar_z,haar_or_clifford_2design,6,-0.09779493121488893,-0.09779493121488893,-0.0977949312148889,-0.0977941668667,7.64348188922459e-07,-0.0977941668667,7.64348188922459e-07
primary_rank4,haar_z,cartan_xy_pi8,6,-0.06817361359428753,-0.06817361359428753,-0.06817361359428749,-0.0891848730964,0.021011259502112467,-0.0760461022209,0.007872488626612467
primary_rank4,haar_z,cartan_xx_pi4,6,-0.07313526823489015,-0.07313526823489015,-0.07313526823489012,-0.0884687205502,0.015333452315309845,-0.0941294201819,0.020994151947009848
independent_rank4,clifford_z,haar_or_clifford_2design,4,-0.08067501467316238,-0.08067501467316239,-0.08067501467316235,-0.107544527196,0.02686951252283762,,
independent_rank4,clifford_z,cartan_xy_pi8,4,-0.06125644338470688,-0.06125644338470687,-0.06125644338470684,-0.083426498763,0.02217005537829312,,
independent_rank4,clifford_z,cartan_xx_pi4,4,-0.073711610500149,-0.073711610500149,-0.073711610500149,-0.0962686144228,0.022557003922651003,,
independent_rank4,floquet_cartan_z,haar_or_clifford_2design,6,-0.10372828084476837,-0.10372828084476836,-0.10372828084476837,-0.107412347895,0.0036840670502316236,,
independent_rank4,floquet_cartan_z,cartan_xy_pi8,6,-0.0711594007425931,-0.07115940074259307,-0.0711594007425931,-0.0973901798137,0.026230779071106908,,
independent_rank4,floquet_cartan_z,cartan_xx_pi4,6,-0.07450475659717226,-0.07450475659717225,-0.07450475659717225,-0.0916835296916,0.017178773094427738,,
independent_rank4,haar_random_pauli,haar_or_clifford_2design,6,-0.07930090808588826,-0.07930090808588827,-0.07930090808588826,-0.0677147693444,0.011586138741488256,,
independent_rank4,haar_random_pauli,cartan_xy_pi8,6,-0.054752869941996955,-0.05475286994199694,-0.05475286994199693,-0.0637069356551,0.008954065713103039,,
independent_rank4,haar_random_pauli,cartan_xx_pi4,6,-0.057895533083227126,-0.05789553308322713,-0.05789553308322712,-0.0589159770245,0.001020443941272875,,
independent_rank4,haar_weak_z_eta06,haar_or_clifford_2design,6,-0.050690722921670074,-0.05069072292167008,-0.050690722921670074,-0.0448685981116,0.0058221248100700715,,
independent_rank4,haar_weak_z_eta06,cartan_xy_pi8,6,-0.03643613854833391,-0.036436138548333906,-0.0364361385483339,-0.0426671439855,0.006231005437166086,,
independent_rank4,haar_weak_z_eta06,cartan_xx_pi4,6,-0.04084001066036811,-0.0408400106603681,-0.0408400106603681,-0.0447629203553,0.003922909694931892,,
independent_rank4,haar_z,haar_or_clifford_2design,6,-0.07956730871061889,-0.07956730871061889,-0.07956730871061886,-0.101306791336,0.021739482625381112,,
independent_rank4,haar_z,cartan_xy_pi8,6,-0.05625102837528647,-0.05625102837528646,-0.05625102837528645,-0.0932413149314,0.036990286556113534,,
independent_rank4,haar_z,cartan_xx_pi4,6,-0.061594621544520695,-0.06159462154452071,-0.06159462154452069,-0.0939729508191,0.0323783292745793,,
posthoc_rank2,clifford_z,haar_or_clifford_2design,6,-0.14425721592407895,-0.14425721592407892,-0.14425721592407895,,,,
posthoc_rank2,clifford_z,cartan_xy_pi8,6,-0.10236272577631456,-0.10236272577631456,-0.10236272577631454,,,,
posthoc_rank2,clifford_z,cartan_xx_pi4,6,-0.11268147326564004,-0.11268147326564001,-0.11268147326564004,,,,
posthoc_rank2,floquet_cartan_z,haar_or_clifford_2design,6,-0.126952855863775,-0.12695285586377503,-0.126952855863775,,,,
posthoc_rank2,floquet_cartan_z,cartan_xy_pi8,6,-0.09044731567104793,-0.09044731567104791,-0.09044731567104793,,,,
posthoc_rank2,floquet_cartan_z,cartan_xx_pi4,6,-0.10013411305193332,-0.10013411305193332,-0.10013411305193332,,,,
posthoc_rank2,haar_random_pauli,haar_or_clifford_2design,6,-0.09508656993173992,-0.09508656993173989,-0.09508656993173992,,,,
posthoc_rank2,haar_random_pauli,cartan_xy_pi8,6,-0.06536014938078842,-0.06536014938078838,-0.06536014938078841,,,,
posthoc_rank2,haar_random_pauli,cartan_xx_pi4,6,-0.0686419873135025,-0.06864198731350249,-0.0686419873135025,,,,
