tau,S_central,p_low,p_high,rows_low,rows_high,denominator_weight,local_slope,normalized_weight,run,protocol,n
10,1,0.26000000000000001,0.28000000000000003,66,173,11.603658536585387,0.0092485549132947844,0.00042898984953232817,primary,random_pauli,128
10,1,0.26000000000000001,0.29999999999999999,66,244,65.463414634146261,-0.0081967213114754103,0.0024201970701939364,primary,random_pauli,128
10,1,0.26000000000000001,0.34000000000000002,66,327,350.92682926829281,-0.017431192660550456,0.012973843310711778,primary,random_pauli,128
10,1,0.27000000000000002,0.28000000000000003,120,173,5.2743902439024479,-0.13150289017341038,0.00019499538615105823,primary,random_pauli,128
10,1,0.27000000000000002,0.29999999999999999,120,244,66.951219512194982,-0.060928961748633964,0.0024752015490619784,primary,random_pauli,128
10,1,0.27000000000000002,0.34000000000000002,120,327,488.50609756097572,-0.041349934469200531,0.01806017960866128,primary,random_pauli,128
10,1,0.28000000000000003,0.29999999999999999,173,244,42.898373983739681,-0.025641997536245652,0.0015859624740285985,primary,random_pauli,128
10,1,0.28000000000000003,0.34000000000000002,173,327,517.41768292682923,-0.026324441851832209,0.019129047381418778,primary,random_pauli,128
10,1,0.29999999999999999,0.34000000000000002,244,327,324.34146341463469,-0.02666566400962549,0.011990976393233628,primary,random_pauli,128
10,2,0.23999999999999999,0.25,50,94,0.94834543987086539,-0.08170212765957445,3.5060542868627906e-05,primary,random_pauli,128
10,2,0.23999999999999999,0.26000000000000001,50,178,7.1832122679580435,-0.065617977528089844,0.00026556496300492622,primary,random_pauli,128
10,2,0.23999999999999999,0.27000000000000002,50,220,19.975786924939502,-0.064848484848484822,0.00073850930723280044,primary,random_pauli,128
10,2,0.23999999999999999,0.28000000000000003,50,255,41.162227602905638,-0.056274509803921534,0.0015217767542978918,primary,random_pauli,128
10,2,0.23999999999999999,0.29999999999999999,50,251,91.16222760290556,-0.049482071713147426,0.0033702879293715012,primary,random_pauli,128
10,2,0.23999999999999999,0.34000000000000002,50,191,192.69572235673945,-0.049905759162303658,0.0071240039233063006,primary,random_pauli,128
10,2,0.25,0.26000000000000001,94,178,3.3761097659402806,-0.049533827396605237,0.00012481553261231533,primary,random_pauli,128
10,2,0.25,0.27000000000000002,94,220,16.690879741727226,-0.056421663442940008,0.0006170655544878509,primary,random_pauli,128
10,2,0.25,0.28000000000000003,94,255,43.52905569007271,-0.047798637185370564,0.0016092789176700205,primary,random_pauli,128
10,2,0.25,0.29999999999999999,94,251,119.01735270379335,-0.043038060523862012,0.0044000981300127929,primary,random_pauli,128
10,2,0.25,0.34000000000000002,94,191,293.43704600484273,-0.046372829329273571,0.010848433174410831,primary,random_pauli,128
10,2,0.26000000000000001,0.27000000000000002,178,220,7.9015334947538483,-0.063309499489274779,0.00029212145930541884,primary,random_pauli,128
10,2,0.26000000000000001,0.28000000000000003,178,255,36.634382566586027,-0.046931042079753224,0.0013543813113251239,primary,random_pauli,128
10,2,0.26000000000000001,0.29999999999999999,178,251,144.23890234059709,-0.041414118805676206,0.0053325444571389029,primary,random_pauli,128
10,2,0.26000000000000001,0.34000000000000002,178,191,439.03793381759505,-0.045977704570857113,0.016231330538861069,primary,random_pauli,128
10,2,0.27000000000000002,0.28000000000000003,220,255,11.319612590799053,-0.030552584670231669,0.00041848860743192031,primary,random_pauli,128
10,2,0.27000000000000002,0.29999999999999999,220,251,100.27845036319592,-0.034115658577810001,0.0037073167223086439,primary,random_pauli,128
10,2,0.27000000000000002,0.34000000000000002,220,191,415.45197740113002,-0.043501733868226013,0.015359352458648374,primary,random_pauli,128
