run,cell,discovery_rows,counts_by_p,reference,max_error
independent,clifford_z|n12|tau8,14,"{""0.08"": 8, ""0.16"": 4, ""0.24"": 2}","[0.27687177462838525, 0.2755386969357409, 0.22396254467310203, 0.22362698376277176]",5.551115123125783e-17
independent,clifford_z|n14|tau6,15,"{""0.08"": 8, ""0.16"": 6, ""0.24"": 1}","[0.2651919359126861, 0.2651919359126859, 0.23480806408731408, 0.23480806408731394]",5.551115123125783e-17
independent,clifford_z|n14|tau8,16,"{""0.08"": 8, ""0.16"": 5, ""0.24"": 3}","[0.2695365851043749, 0.26953658510437484, 0.2304634148956252, 0.23046341489562508]",5.551115123125783e-17
independent,floquet_cartan_z|n10|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.741065280629792, 0.18157742655363437, 0.053170345762889544, 0.024186947053684127]",1.1102230246251565e-16
independent,floquet_cartan_z|n10|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.7371413299004078, 0.18155324986521884, 0.056025905735155736, 0.025279514499217663]",6.938893903907228e-18
independent,floquet_cartan_z|n12|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.6872353803408041, 0.20460084898090755, 0.06871947273469421, 0.039444297943594164]",1.1102230246251565e-16
independent,floquet_cartan_z|n12|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.6648688751251316, 0.21516878225975503, 0.0789026117928049, 0.041059730822308495]",1.1102230246251565e-16
independent,floquet_cartan_z|n14|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.7593907677732432, 0.15977543780553397, 0.05503952327805159, 0.02579427114317128]",1.1102230246251565e-16
independent,floquet_cartan_z|n14|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.7580184648055757, 0.16657966568630264, 0.04948176448196099, 0.025920105026160673]",1.3877787807814457e-17
independent,haar_random_pauli|n10|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5734830050843408, 0.24182466779108835, 0.11719273914267105, 0.06749958798189985]",2.7755575615628914e-17
independent,haar_random_pauli|n10|tau8,23,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 7}","[0.6212114436171745, 0.21126182815712746, 0.10717851361829686, 0.060348214607401224]",5.551115123125783e-17
independent,haar_random_pauli|n12|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5741511211860649, 0.23043760886307493, 0.11816660963092283, 0.07724466031993736]",2.7755575615628914e-17
independent,haar_random_pauli|n12|tau8,23,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 7}","[0.5609847274626396, 0.24215538516522245, 0.12211029258670825, 0.0747495947854297]",1.1102230246251565e-16
independent,haar_random_pauli|n14|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5629244859709409, 0.2373005735811907, 0.12263648987103658, 0.07713845057683187]",2.7755575615628914e-17
independent,haar_random_pauli|n14|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5167987031686272, 0.25273932190301923, 0.1404541666614367, 0.09000780826691686]",5.551115123125783e-17
independent,haar_weak_z_eta06|n10|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.421326563343926, 0.26071622249503873, 0.18501159451241977, 0.13294561964861554]",5.551115123125783e-17
independent,haar_weak_z_eta06|n10|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.39425799794333977, 0.2714946560031971, 0.18944869319324953, 0.14479865286021365]",2.7755575615628914e-17
independent,haar_weak_z_eta06|n12|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.40745723521420735, 0.2575043892225844, 0.19254769363009816, 0.14249068193311012]",5.551115123125783e-17
independent,haar_weak_z_eta06|n12|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.41049591626373944, 0.25586361662535645, 0.1846770751301774, 0.14896339198072667]",5.551115123125783e-17
independent,haar_weak_z_eta06|n14|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.37474629299344636, 0.26054576833327686, 0.20016356188410847, 0.16454437678916836]",5.551115123125783e-17
independent,haar_weak_z_eta06|n14|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.366241294153619, 0.2616370569810918, 0.20561015629933385, 0.16651149256595535]",1.1102230246251565e-16
independent,haar_z|n10|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5888651674941358, 0.23281836853222285, 0.11556182105436634, 0.06275464291927513]",1.1102230246251565e-16
independent,haar_z|n10|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5308837948350185, 0.2538127989171014, 0.12932558528682053, 0.08597782096105959]",1.1102230246251565e-16
independent,haar_z|n12|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5385871171754252, 0.24409937645893964, 0.13819298962185605, 0.0791205167437791]",1.1102230246251565e-16
independent,haar_z|n12|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5633762383131741, 0.22142632936499382, 0.12701919442515147, 0.08817823789668068]",0.0
independent,haar_z|n14|tau6,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.5178918022303282, 0.26197289147681513, 0.1389636410059873, 0.08117166528686941]",1.1102230246251565e-16
independent,haar_z|n14|tau8,24,"{""0.08"": 8, ""0.16"": 8, ""0.24"": 8}","[0.560527340753593, 0.23079965477289655, 0.1293251482802765, 0.07934785619323396]",5.551115123125783e-17
