run,protocol,n,delta_left,delta_right,probability_slope,response,contribution
primary,z_projective,256,1,0,0.021511270392831985,-0.20000000000000018,-0.0043022540785664009
primary,z_projective,256,1,1,0.024532817715115739,-0.60000000000000009,-0.014719690629069446
replication,random_pauli,32,-1,-1,-0.006622807479553813,0.60000915541313804,-0.0039737451222708964
replication,random_pauli,32,-1,0,-0.017791597688217156,0.4000061036087586,-0.0071167476682383419
replication,random_pauli,32,-1,1,-0.00089056476695739987,0,-0
replication,random_pauli,32,0,-1,-0.018807067043112524,0.4000061036087586,-0.0075229416082241377
replication,random_pauli,32,0,0,0.0081128030710770661,0.2000030518043793,0.001622585372903354
replication,random_pauli,32,0,1,0.012841175397168994,-0.20000305180437952,-0.0025682742681891139
replication,random_pauli,32,1,-1,0.00073110801293555015,0,0
replication,random_pauli,32,1,0,0.012118458210002398,-0.20000305180437952,-0.0024237286251643179
replication,random_pauli,32,1,1,0.010308492286656885,-0.60000915541313815,-0.006185189750499847
replication,random_pauli,64,-1,-1,-0.011001060760425459,0.60000000013969834,-0.0066006364577921054
replication,random_pauli,64,-1,0,-0.018451032402926944,0.40000000009313219,-0.0073804129628891628
replication,random_pauli,64,-1,1,-0.00019162282879531313,0,-0
replication,random_pauli,64,0,-1,-0.019798751027073361,0.40000000009313219,-0.0079195004126732457
replication,random_pauli,64,0,0,-0.0017951339938384807,0.2000000000465661,-0.00035902679885128853
replication,random_pauli,64,0,1,0.019284225153304788,-0.20000000004656632,-0.0038568450315589527
replication,random_pauli,64,1,-1,0.00040277705247784531,0,0
replication,random_pauli,64,1,0,0.014843889358297693,-0.20000000004656632,-0.0029687778723507638
replication,random_pauli,64,1,1,0.016706709448979232,-0.60000000013969845,-0.010024025671721441
replication,random_pauli,128,-1,-1,-0.0087240252770816214,0.59999999999999998,-0.005234415166248973
replication,random_pauli,128,-1,0,-0.022656085833073498,0.39999999999999991,-0.0090624343332293966
replication,random_pauli,128,-1,1,0.0023918525776269054,0,0
replication,random_pauli,128,0,-1,-0.025840122039643636,0.39999999999999991,-0.010336048815857451
replication,random_pauli,128,0,0,-0.00021459874047125688,0.19999999999999996,-4.2919748094251368e-05
replication,random_pauli,128,0,1,0.016170176755210468,-0.20000000000000018,-0.0032340353510420966
replication,random_pauli,128,1,-1,0.0017399997096629047,0,0
replication,random_pauli,128,1,0,0.015173115715295556,-0.20000000000000018,-0.0030346231430591138
replication,random_pauli,128,1,1,0.021959687132474169,-0.60000000000000009,-0.013175812279484504
replication,random_pauli,256,-1,-1,-0.0086088219012153168,0.59999999999999998,-0.0051652931407291901
replication,random_pauli,256,-1,0,-0.022379295474838787,0.39999999999999991,-0.0089517181899355126
replication,random_pauli,256,-1,1,0.0021477741289918847,0,0
replication,random_pauli,256,0,-1,-0.022798761101520335,0.39999999999999991,-0.0091195044406081321
replication,random_pauli,256,0,0,-0.021969865150880102,0.19999999999999996,-0.0043939730301760195
replication,random_pauli,256,0,1,0.02333995108565471,-0.20000000000000018,-0.0046679902171309464
replication,random_pauli,256,1,-1,0.00048842834818596916,0,0
replication,random_pauli,256,1,0,0.025054357445841897,-0.20000000000000018,-0.0050108714891683838
replication,random_pauli,256,1,1,0.024726232619780082,-0.60000000000000009,-0.014835739571868052
replication,z_projective,32,-1,-1,-0.0071193690618967537,0.60000915541313804,-0.0042716866179030961
replication,z_projective,32,-1,0,-0.010752743764111465,0.4000061036087586,-0.0043011631361856038
replication,z_projective,32,-1,1,-0.0015018187272930409,0,-0
replication,z_projective,32,0,-1,-0.014319677825924878,0.4000061036087586,-0.0057279585320809496
replication,z_projective,32,0,0,-0.0017858565401052823,0.2000030518043793,-0.00035717675810586634
replication,z_projective,32,0,1,0.0099801251541568152,-0.20000305180437952,-0.0019960554882210166
replication,z_projective,32,1,-1,-8.9279530105114153e-05,0,-0
replication,z_projective,32,1,0,0.010325574910343159,-0.20000305180437952,-0.0020651464937033641
replication,z_projective,32,1,1,0.015263045384936561,-0.60000915541313815,-0.0091579669704481819
replication,z_projective,64,-1,-1,-0.007640176571422126,0.60000000013969834,-0.004584105943920596
