run,protocol,n,p_low,p_high,beta_per_pair,rows,strata,ci_low,ci_high,interval_source
primary,random_pauli,32,0.20000000000000001,0.22,-0.030050321832407519,4671,18,-0.045942707819067799,-0.013817540504797599,archived table; not freshly resampled
primary,random_pauli,256,0.23999999999999999,0.25,-0.053639386868223324,4301,22,-0.073773512628622306,-0.036250578997548598,archived table; not freshly resampled
primary,random_pauli,256,0.25,0.26000000000000001,-0.060539261279700891,4426,21,-0.077880581789287001,-0.042240087278385602,archived table; not freshly resampled
primary,random_pauli,256,0.26000000000000001,0.27000000000000002,-0.054518086927051707,4639,22,-0.070904811882420996,-0.038616967396121499,archived table; not freshly resampled
primary,random_pauli,256,0.27000000000000002,0.28000000000000003,-0.035059320031120875,4679,20,-0.051083723114539702,-0.018799677566481099,archived table; not freshly resampled
primary,random_pauli,256,0.28000000000000003,0.29999999999999999,-0.040055682829903037,4587,15,-0.055840850077834202,-0.023592366779104101,archived table; not freshly resampled
primary,random_pauli,256,0.29999999999999999,0.34000000000000002,-0.071819805979334836,4643,12,-0.086590201737595796,-0.057211332531147401,archived table; not freshly resampled
primary,z_projective,32,0.20000000000000001,0.22,-0.045608934042760972,4709,19,-0.062254958701112098,-0.029423742020176901,archived table; not freshly resampled
primary,z_projective,32,0.22,0.23999999999999999,-0.045561101459883742,4757,18,-0.0607143866028051,-0.0286611264285704,archived table; not freshly resampled
primary,z_projective,32,0.23999999999999999,0.25,-0.010217162794995809,4770,17,-0.025521340513922401,0.0051680938800213998,archived table; not freshly resampled
primary,z_projective,32,0.25,0.26000000000000001,-0.012578142894383941,4746,15,-0.028896481870343601,0.0027746124441636998,archived table; not freshly resampled
primary,z_projective,32,0.26000000000000001,0.27000000000000002,-0.018551471025051964,4767,15,-0.0338007505745428,-0.003514258468847,archived table; not freshly resampled
primary,z_projective,32,0.27000000000000002,0.28000000000000003,-0.018164800704093029,4782,15,-0.032351059217068601,-0.0026021509119765998,archived table; not freshly resampled
primary,z_projective,32,0.28000000000000003,0.29999999999999999,-0.0299919169442289,4760,14,-0.045432123650034503,-0.016442140240414301,archived table; not freshly resampled
primary,z_projective,32,0.29999999999999999,0.34000000000000002,-0.035498620282285578,4750,12,-0.049397098836041597,-0.021339717972619899,archived table; not freshly resampled
primary,z_projective,64,0.20000000000000001,0.22,-0.051627933284707966,4607,21,-0.068831939379954105,-0.033339698488800702,archived table; not freshly resampled
primary,z_projective,64,0.22,0.23999999999999999,-0.045075660609150046,4639,20,-0.061307246445007797,-0.028047302791621001,archived table; not freshly resampled
primary,z_projective,64,0.23999999999999999,0.25,-0.026601594734669626,4750,21,-0.042088687517829397,-0.010716413182898199,archived table; not freshly resampled
primary,z_projective,64,0.25,0.26000000000000001,-0.027424629320923377,4781,21,-0.043597850902245099,-0.0120267393226477,archived table; not freshly resampled
primary,z_projective,64,0.26000000000000001,0.27000000000000002,-0.025368669157893164,4735,18,-0.041101610833605397,-0.0093173149999035004,archived table; not freshly resampled
primary,z_projective,64,0.27000000000000002,0.28000000000000003,-0.018176139863373606,4778,18,-0.033326907066933101,-0.0043029375319941004,archived table; not freshly resampled
primary,z_projective,64,0.28000000000000003,0.29999999999999999,-0.038519450436014152,4743,15,-0.053715192423073599,-0.024147838453889299,archived table; not freshly resampled
primary,z_projective,64,0.29999999999999999,0.34000000000000002,-0.049631787051492932,4697,12,-0.062679230579728906,-0.035911337230466599,archived table; not freshly resampled
primary,z_projective,128,0.20000000000000001,0.22,-0.064070637229815403,4055,20,-0.085768716840148404,-0.043542637503103797,archived table; not freshly resampled
primary,z_projective,128,0.22,0.23999999999999999,-0.075917375105926208,4336,21,-0.095069114497871393,-0.055878634585060698,archived table; not freshly resampled
primary,z_projective,128,0.23999999999999999,0.25,-0.046446205008104362,4721,24,-0.064008091218942006,-0.028597419428800001,archived table; not freshly resampled
primary,z_projective,128,0.25,0.26000000000000001,-0.031959059559936276,4654,21,-0.048411392778555697,-0.0156806293031733,archived table; not freshly resampled
primary,z_projective,128,0.26000000000000001,0.27000000000000002,-0.021451083457789455,4749,21,-0.036918393230999699,-0.0053785413112394003,archived table; not freshly resampled
primary,z_projective,128,0.27000000000000002,0.28000000000000003,-0.032461684928226528,4730,18,-0.049303246232123801,-0.017656904881963,archived table; not freshly resampled
primary,z_projective,128,0.28000000000000003,0.29999999999999999,-0.032919511131604948,4688,15,-0.048264880162649702,-0.017256476038818101,archived table; not freshly resampled
primary,z_projective,128,0.29999999999999999,0.34000000000000002,-0.058397477987853566,4659,12,-0.072485759837990604,-0.043820964421888001,archived table; not freshly resampled
primary,z_projective,256,0.20000000000000001,0.22,-0.12140311366760158,2768,18,-0.14559351324439679,-0.093169737195959598,archived table; not freshly resampled
primary,z_projective,256,0.22,0.23999999999999999,-0.11879824986778018,2992,18,-0.1420761207065466,-0.094142751452494206,archived table; not freshly resampled
primary,z_projective,256,0.23999999999999999,0.25,-0.045722309047818155,4389,24,-0.0628876397027925,-0.027506023094138399,archived table; not freshly resampled
primary,z_projective,256,0.25,0.26000000000000001,-0.057824188530986427,4534,23,-0.074493193317220097,-0.041286833753102103,archived table; not freshly resampled
primary,z_projective,256,0.26000000000000001,0.27000000000000002,-0.048732235453583544,4570,21,-0.065153616692818703,-0.032124399050490998,archived table; not freshly resampled
primary,z_projective,256,0.27000000000000002,0.28000000000000003,-0.02444087006780922,4743,21,-0.039123016156062,-0.0082077536783453,archived table; not freshly resampled
primary,z_projective,256,0.28000000000000003,0.29999999999999999,-0.055450183172202627,4640,16,-0.069981224833870703,-0.041078452371098903,archived table; not freshly resampled
primary,z_projective,256,0.29999999999999999,0.34000000000000002,-0.067151312331293581,4643,12,-0.082517642726669602,-0.051947611366768703,archived table; not freshly resampled
replication,random_pauli,32,0.20000000000000001,0.22,-0.059259966510992954,1710,15,-0.086887391649898907,-0.035048350569480101,archived table; not freshly resampled
replication,random_pauli,32,0.22,0.23999999999999999,-0.040473355609751564,1677,14,-0.063162599493394894,-0.014102812164749999,archived table; not freshly resampled
replication,random_pauli,32,0.23999999999999999,0.25,-0.011836933936364376,1752,15,-0.033738174284672497,0.0124688470845697,archived table; not freshly resampled
replication,random_pauli,32,0.25,0.26000000000000001,-0.012207005294638602,1774,15,-0.036431404615119997,0.0131532824027604,archived table; not freshly resampled
replication,random_pauli,32,0.26000000000000001,0.27000000000000002,-0.015157332472991463,1783,15,-0.039782312536563398,0.0097058575072404007,archived table; not freshly resampled
replication,random_pauli,32,0.27000000000000002,0.28000000000000003,-0.022784559251476714,1742,13,-0.048273452255084899,0.00089921387964839996,archived table; not freshly resampled
replication,random_pauli,32,0.28000000000000003,0.29999999999999999,-0.036202287000108871,1751,12,-0.059673276363412402,-0.012438808450684,archived table; not freshly resampled
replication,random_pauli,32,0.29999999999999999,0.34000000000000002,-0.015024687233745154,1713,10,-0.039789873832660999,0.0069846642117722003,archived table; not freshly resampled
replication,random_pauli,64,0.20000000000000001,0.22,-0.041565867947661199,1524,15,-0.071657513612047002,-0.0111655780926159,archived table; not freshly resampled
replication,random_pauli,64,0.22,0.23999999999999999,-0.040587229851032344,1646,16,-0.068756536801450399,-0.012467114599056099,archived table; not freshly resampled
replication,random_pauli,64,0.23999999999999999,0.25,-0.019012641283458188,1704,16,-0.044989050667898899,0.0072498155017355001,archived table; not freshly resampled
replication,random_pauli,64,0.25,0.26000000000000001,-0.023338908724567259,1701,15,-0.050855374950617899,0.0031526211645157001,archived table; not freshly resampled
replication,random_pauli,64,0.26000000000000001,0.27000000000000002,-0.054016541459218234,1739,16,-0.078968260009895597,-0.026786920571308499,archived table; not freshly resampled
replication,random_pauli,64,0.27000000000000002,0.28000000000000003,0.011509447956703844,1747,15,-0.015874733102687701,0.038562627029033597,archived table; not freshly resampled
replication,random_pauli,64,0.28000000000000003,0.29999999999999999,-0.042684634951293564,1741,14,-0.0656660625894087,-0.017958956677813401,archived table; not freshly resampled
replication,random_pauli,64,0.29999999999999999,0.34000000000000002,-0.062464709581806305,1763,12,-0.083143954201686104,-0.041946329165677802,archived table; not freshly resampled
replication,random_pauli,128,0.20000000000000001,0.22,-0.062542713051147558,1103,13,-0.097942712884377503,-0.025791978986175201,archived table; not freshly resampled
replication,random_pauli,128,0.22,0.23999999999999999,-0.073438050367252983,1355,15,-0.1062354128802894,-0.040274952825879,archived table; not freshly resampled
replication,random_pauli,128,0.23999999999999999,0.25,-0.051378636799354761,1643,18,-0.080259663838156095,-0.023630326595146599,archived table; not freshly resampled
